Description,Numeric_code
Animal Food Processor,37
Bakery Distributor,10
Bakery,9
Contract Milk Hauler,20
Custom Meat Processor,44
Custom Mobile Slaughter,43
Custom Stationary Slaughter,42
Domestic Kitchen Bakery License,11
Domestic Kitchen Food Processor,16
Dairy Products Plant,19
"Shellfish distributor, shipper, wholesaler",97
Egg Breaker,14
Egg Handler,13
Fluid Milk Distributor,5
Fluid Milk Producer,2
Food Processing Establishment,59
Food Storage Warehouse,78
HTST Pasteurizer (2 year license),81
Meat Sellers License,38
Milk Sampler-Grader,18
Not listed,0
Non-Alcoholic Beverage License,12
Non-Processing Distributor Grade A,6
Non-Processing Distributor Grade B,7
Non-Slaughtering Processor,41
Producer-Distributor Grade A,3
Producer-Distributor Grade B,4
Pre-packaged only- Meat sellers,85
Poultry & Rabbit Slaughter,39
Retail Food Establishment,77
Refrigerated Locker Plant,8
Shellfish harvester,98
Shellfish Grower,89
Slaughterhouse,40
Shellfish Shucker/Packer,88
Vat Pasteurizer (2 year license),79
Wholesale Frozen Dessert Manufacturer,17
Cannabis Bakery,
Cannabis Food Processor,
Cannabis Food Warehouse,
Cannabis Non-Alcoholic Beverage,
Cannabis Retail Food Establishment,
Cannabis Wholesale Frozen Dessert,
Dairy Operator Lifetime,
Mobile Milk Tanker,
"Shellfish Distributor, Shipper, Wholesaler",
